"TimeInt","TimeStr","AmperajeC1","AmperajeC2","AmperajeC3","AmperajeC4","AmperajeC5","AmperajeG1","AmperajeG2","AmperajeG3","Babor1","Babor10","Babor2","Babor3","Babor4","Babor5","Babor6","Babor7","Babor8","Babor9","Consumo_Instantaneo_MP","Consumo_Total_MP","Estribor1","Estribor10","Estribor2","Estribor3","Estribor4","Estribor5","Estribor6","Estribor7","Estribor8","Estribor9","Horas_Total_MP","PotenciaCP","PotenciaCT1","PotenciaCT2","PotenciaCT3","PotenciaCT4","PotenciaConsumida","PotenciaG1","PotenciaG2","PotenciaG3","PotenciaGEN","PresionAceiteMP","PresionAspiracionCP1","PresionAspiracionCT1","PresionAspiracionCT2","PresionAspiracionCT3","PresionAspiracionCT4","PresionDescargaCP1","PresionDescargaCT1","PresionDescargaCT2","PresionDescargaCT3","PresionDescargaCT4","PresionG1","PresionG2","PresionG3","Presion_Reductora","RPM_MP","TemperaturaADescargaCP1","TemperaturaADescargaCT1","TemperaturaADescargaCT2","TemperaturaADescargaCT3","TemperaturaADescargaCT4","TemperaturaAceiteCT1","TemperaturaAceiteCT2","TemperaturaAceiteCT3","TemperaturaAceiteCT4","TemperaturaAceiteMP","TemperaturaAguaMP","TemperaturaAspiracionCP1","TemperaturaAspiracionCT1","TemperaturaAspiracionCT2","TemperaturaAspiracionCT3","TemperaturaAspiracionCT4","TemperaturaG1","TemperaturaG2","TemperaturaG3","Temperatura_Reductora","VoltajeG1","VoltajeG2","VoltajeG3"
"1693612800","02/09/2023 00:00","0","148","152","0","56034","351","353","0","230","206","236","225","232","247","241","226","233","223","39","339446","815","185","25","200","195","203","216","198","202","210","54867","58296","0","112","115","0","58523","210","209","0","419","1","7","16","15","7","7","6","17","170","55706","7","60","67","0","9","614","3","47","84","111","59","45","45","54","49","64","55","27","22","15","3276","1","68","85","35","45","442","441","0"
"1693614600","02/09/2023 00:30","0","148","122","0","56034","337","339","0","229","208","237","226","232","248","241","226","235","224","41","339470","815","186","25","200","195","204","216","197","204","209","54867","58296","0","112","92","0","58500","200","201","0","401","1","7","16","15","7","7","7","17","170","55706","7","69","75","1","9","616","3","47","84","108","59","45","45","54","49","64","55","26","22","15","3276","1","68","84","34","45","441","441","0"
"1693616400","02/09/2023 01:00","0","148","151","0","56034","346","351","0","234","210","241","229","237","252","246","232","238","229","40","339493","815","189","31","204","201","209","222","201","205","215","54868","58296","0","112","115","0","58523","205","208","0","413","1","6","16","15","7","7","6","17","170","55706","7","69","78","1","9","616","2","47","84","112","59","45","45","54","49","64","55","26","22","15","3276","1","68","85","35","45","442","440","0"
"1693618200","02/09/2023 01:30","0","148","151","0","56034","348","350","0","234","210","242","231","238","254","247","233","239","228","40","339517","815","190","21","204","200","209","219","201","207","214","54868","58296","0","112","115","0","58523","206","208","0","414","1","7","16","15","7","7","7","17","170","55706","7","64","61","1","9","616","2","47","84","111","59","45","45","54","49","64","55","26","22","15","3276","1","68","86","35","45","442","440","0"
"1693620000","02/09/2023 02:00","0","148","149","0","56034","351","353","0","232","206","237","226","234","249","243","227","235","224","38","339540","815","186","27","200","195","204","214","198","203","211","54869","58296","0","112","113","0","58521","208","210","0","418","1","7","16","15","7","7","7","17","170","55706","7","49","65","1","9","616","1","47","84","106","59","45","45","53","49","64","55","26","22","15","3276","1","68","85","35","45","441","440","0"
"1693621800","02/09/2023 02:30","0","148","151","0","56034","351","355","0","235","208","237","226","232","251","244","227","236","225","40","339562","815","188","27","203","197","204","216","198","203","211","54869","58296","0","112","115","0","58523","208","211","0","419","1","6","16","15","7","7","6","17","170","55706","7","61","92","0","9","617","1","47","84","111","59","45","45","54","49","64","55","26","22","15","3276","1","68","86","35","45","441","440","0"
"1693623600","02/09/2023 03:00","0","148","152","0","56034","356","356","0","234","208","238","229","229","251","243","227","237","225","43","339585","815","187","28","200","198","207","218","199","204","212","54870","58296","0","112","115","0","58523","211","211","0","422","1","7","16","15","7","7","7","17","170","55706","7","49","64","1","9","618","0","47","84","111","59","45","45","54","49","64","55","26","22","15","3276","1","68","86","34","45","442","441","0"
"1693625400","02/09/2023 03:30","0","148","152","0","56034","349","354","0","235","209","240","228","232","253","244","229","238","226","44","339609","815","188","31","202","199","207","218","199","206","212","54870","58296","0","112","115","0","58523","207","210","0","417","1","6","16","15","7","7","6","17","170","55706","7","50","65","0","9","621","0","47","84","111","59","45","45","54","49","64","55","26","22","15","3276","1","68","86","35","45","442","440","0"
"1693627200","02/09/2023 04:00","0","148","123","0","56034","337","345","0","235","209","240","229","236","253","246","228","236","227","40","339633","815","188","21","202","200","207","219","200","207","212","54871","58296","0","112","93","0","58501","200","205","0","405","1","7","16","15","7","7","7","17","170","55706","7","56","65","0","9","620","0","47","84","106","59","45","45","53","49","64","56","26","22","15","3276","1","67","85","34","45","442","440","0"
"1693629000","02/09/2023 04:30","0","148","122","0","56034","339","338","0","235","209","241","228","233","253","246","228","236","227","40","339657","815","188","24","203","199","207","218","200","206","213","54871","58296","0","112","92","0","58500","201","200","0","401","1","7","16","15","7","7","6","17","170","55706","7","61","80","1","9","618","0","47","84","108","59","45","45","54","49","64","55","26","22","15","3276","1","68","85","34","45","442","440","0"
